City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,San Francisco,US,37.7749,-122.4194,57.76,72,20,26.46,few clouds
260,Xichang,CN,27.8964,102.2634,72.12,52,5,2.95,clear sky
261,Yangjiang,CN,21.85,111.9667,85.82,66,100,6.62,overcast clouds
262,Yoichi,JP,43.2039,140.7703,47.8,49,100,8.16,overcast clouds
263,Carnarvon,AU,-24.8667,113.6333,78.87,34,0,17.27,clear sky
264,San Jose,US,37.3394,-121.895,56.3,60,20,12.66,few clouds
265,Ligayan,PH,4.6533,119.4706,84.4,71,100,11.81,overcast clouds
266,Taoudenni,ML,22.6783,-3.9836,79.5,12,0,5.91,clear sky
267,Yulara,AU,-25.2406,130.9889,76.84,36,100,11.5,overcast clouds
268,Qaqortoq,GL,60.7167,-46.0333,37.98,87,100,1.63,overcast clouds
269,Sola,VU,-13.8833,167.55,81.9,72,100,8.16,overcast clouds
270,Ponta Do Sol,PT,32.6667,-17.1,63.72,82,100,2.44,overcast clouds
271,Walvis Bay,NA,-22.9575,14.5053,59.95,77,32,1.14,scattered clouds
272,Alta Floresta,BR,-9.8756,-56.0861,71.78,75,20,3.96,few clouds
273,Husavik,IS,66.0449,-17.3389,41.67,71,11,6.55,few clouds
274,Lafiagi,NG,8.8667,5.4167,77.79,80,99,2.95,overcast clouds
275,Sena Madureira,BR,-9.0656,-68.6569,77.47,80,81,1.63,broken clouds
276,Klaksvik,FO,62.2266,-6.589,41.92,76,8,4.36,clear sky
277,Catuday,PH,16.2923,119.8062,87.26,61,100,6.38,overcast clouds
278,Effium,NG,6.6292,8.0593,76.6,84,88,4.65,overcast clouds
279,Golden,US,39.7555,-105.2211,68.68,24,75,7.0,broken clouds
280,Havoysund,NO,70.9963,24.6622,28.63,71,100,24.4,light snow
281,Mount Isa,AU,-20.7333,139.5,91.17,43,40,10.36,scattered clouds
282,Makakilo City,US,21.3469,-158.0858,80.92,58,100,14.97,overcast clouds
283,Milverton,CA,43.5668,-80.9164,34.84,59,1,1.01,clear sky
284,Ponezhukay,RU,44.8876,39.3855,60.84,85,100,6.02,overcast clouds
285,Usinsk,RU,65.9939,57.5281,24.91,76,46,16.49,scattered clouds
286,Zamosc,PL,50.7231,23.252,40.06,90,74,2.42,broken clouds
287,Bengkulu,ID,-3.8004,102.2655,83.89,69,98,4.99,overcast clouds
288,Kodiak,US,57.79,-152.4072,44.11,76,100,21.85,overcast clouds
289,Aanekoski,FI,62.6946,25.818,24.85,93,7,3.8,clear sky
290,Camopi,GF,3.1655,-52.3158,71.74,99,60,2.55,broken clouds
291,Fukue,JP,32.6881,128.8419,57.56,88,75,28.77,broken clouds
292,Vanimo,PG,-2.6741,141.3028,86.47,65,100,5.61,overcast clouds
293,Copiapo,CL,-27.3667,-70.3333,53.29,53,0,0.72,clear sky
294,Okha,RU,53.5739,142.9478,31.91,97,100,19.64,light snow
295,Luau,AO,-10.7073,22.2247,61.72,88,29,4.9,scattered clouds
296,Ambon,ID,-3.6954,128.1814,89.74,62,40,3.44,scattered clouds
297,Westport,US,41.1415,-73.3579,47.82,33,0,11.5,clear sky
298,Dingle,PH,10.9995,122.6711,86.67,68,100,9.31,overcast clouds
299,Porto Calvo,BR,-9.045,-35.3983,74.14,85,100,4.14,overcast clouds
300,Katsuura,JP,35.1333,140.3,61.21,92,100,13.6,overcast clouds
301,Namatanai,PG,-3.6667,152.4333,86.59,63,100,5.21,overcast clouds
302,Araouane,ML,18.9048,-3.5265,77.85,11,1,7.05,clear sky
303,Balkhash,KZ,46.844,74.9804,63.21,29,0,22.37,clear sky
304,Kendari,ID,-3.945,122.4989,86.13,64,97,3.4,overcast clouds
305,Moramanga,MG,-18.9333,48.2,55.44,94,18,3.36,few clouds
306,Palmer,US,42.1584,-72.3287,45.01,33,0,11.5,clear sky
307,Eureka,US,40.8021,-124.1637,53.26,77,7,2.71,clear sky
308,Imbituba,BR,-28.24,-48.6703,71.85,90,100,10.96,overcast clouds
309,Ames,US,42.0347,-93.6199,60.06,87,0,18.41,clear sky
310,Salas,ES,43.4118,-6.2602,50.95,95,3,3.02,clear sky
311,Camacha,PT,33.0833,-16.3333,58.42,72,75,4.61,broken clouds
312,Kloulklubed,PW,7.0419,134.2556,77.5,92,100,2.86,light rain
313,Maceio,BR,-9.6658,-35.7353,72.84,94,40,4.61,scattered clouds
314,Marsa Matruh,EG,31.3525,27.2453,64.47,71,26,15.5,scattered clouds
315,Salta,AR,-24.7859,-65.4117,59.59,75,75,8.05,broken clouds
316,Monrovia,LR,6.3005,-10.7969,73.17,93,100,13.38,moderate rain
317,Suntar,RU,62.1444,117.6319,42.4,60,83,4.92,broken clouds
318,Kaitangata,NZ,-46.2817,169.8464,54.39,72,2,4.16,clear sky
319,Stromness,GB,58.965,-3.296,41.88,91,95,3.0,overcast clouds
320,Panjab,AF,34.388,67.0233,54.28,51,4,1.95,clear sky
321,Lobito,AO,-12.3481,13.5456,75.52,88,94,1.03,light rain
322,Jiuquan,CN,39.7432,98.5174,49.33,31,100,7.56,overcast clouds
323,Balangiga,PH,11.1097,125.3875,81.72,83,99,12.24,overcast clouds
324,Humaita,BR,-7.5061,-63.0208,75.94,86,99,2.37,overcast clouds
325,Portland,US,45.5234,-122.6762,51.73,80,100,3.44,overcast clouds
326,Padang,ID,-0.9492,100.3543,87.85,68,99,3.11,overcast clouds
327,Olga,RU,43.7444,135.2892,53.89,32,100,9.06,overcast clouds
328,Caravelas,BR,-17.7125,-39.2481,73.92,87,0,4.18,clear sky
329,Tamworth,GB,52.634,-1.6959,45.93,84,100,1.01,overcast clouds
330,Vilyuysk,RU,63.7553,121.6247,38.73,70,15,4.63,few clouds
331,Satuk,TR,41.2263,32.3836,50.25,92,0,2.28,clear sky
332,Nishihara,JP,26.1842,127.7558,83.86,86,75,20.71,broken clouds
333,Margate,GB,51.3813,1.3862,48.31,77,100,5.99,overcast clouds
334,Jining,CN,35.405,116.5814,61.59,48,61,4.5,broken clouds
335,La Asuncion,VE,11.0333,-63.8628,87.53,74,88,8.05,overcast clouds
336,Ouallam,NE,14.3188,2.0866,83.28,16,97,7.52,overcast clouds
337,Carutapera,BR,-1.195,-46.02,74.8,95,100,5.32,overcast clouds
338,Deputatskiy,RU,69.3,139.9,16.09,79,79,2.8,broken clouds
339,Whyalla,AU,-33.0333,137.5833,67.89,60,75,8.05,broken clouds
340,Kuusamo,FI,65.9667,29.1833,21.24,63,0,5.75,clear sky
341,Morro Bay,US,35.3658,-120.8499,60.58,69,0,8.01,clear sky
